2026-06-24 14:41:50 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]
2026-06-24 14:41:51 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jul 2026')]/..//span[@class='full date-val' and text()='10']
2026-06-24 14:41:53 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:42:03 ERROR org.openqa.selenium.TimeoutException
2026-06-24 14:42:03 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:03 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:03 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:42:04 INFO  2 : Element found for the locator : By.xpath: //div[contains(@class,'datepicker-inner full')]/i[@class='ytfi-arrow-right cursor-pointer']
2026-06-24 14:42:04 INFO  0 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
